Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,300.000000,307.850006,297.750000,302.549988,302.549988,2021663
2022-12-19,302.000000,304.450012,296.649994,300.649994,300.649994,1523678
2022-12-20,299.799988,299.799988,292.000000,298.850006,298.850006,1893667
2022-12-21,301.000000,307.700012,298.250000,299.649994,299.649994,2165019
2022-12-22,303.450012,305.000000,293.049988,296.250000,296.250000,1887343
2022-12-23,292.000000,294.899994,278.000000,279.950012,279.950012,2148394
2022-12-26,280.000000,293.000000,277.750000,291.649994,291.649994,1703065
2022-12-27,295.000000,298.899994,290.700012,297.200012,297.200012,1546220
2022-12-28,296.399994,296.399994,288.700012,293.399994,293.399994,1857151
2022-12-29,290.200012,294.149994,289.000000,293.100006,293.100006,1137712
2022-12-30,298.450012,305.450012,297.100006,298.750000,298.750000,3410280
2023-01-02,300.000000,300.700012,293.799988,297.350006,297.350006,1379929
2023-01-03,294.500000,300.350006,292.299988,299.600006,299.600006,2515189
2023-01-04,299.899994,299.899994,292.649994,294.750000,294.750000,1599439
2023-01-05,294.750000,295.799988,289.049988,291.700012,291.700012,1806809
2023-01-06,290.899994,291.500000,282.750000,283.649994,283.649994,2295178
2023-01-09,287.399994,294.950012,287.399994,293.649994,293.649994,3174952
2023-01-10,293.450012,293.450012,288.000000,290.350006,290.350006,1398351
2023-01-11,291.850006,297.950012,290.500000,294.299988,294.299988,1536020
2023-01-12,295.799988,296.799988,287.850006,289.700012,289.700012,1262689
2023-01-13,292.799988,295.000000,287.299988,293.700012,293.700012,2186938
